Data	Número de Internados, por covid-19
01/09/2021	231
02/09/2021	233
03/09/2021	227
04/09/2021	228
05/09/2021	229
06/09/2021	218
07/09/2021	199
08/09/2021	193
09/09/2021	194
10/09/2021	187
11/09/2021	175
12/09/2021	175
13/09/2021	187
14/09/2021	187
15/09/2021	182
16/09/2021	178
17/09/2021	173
18/09/2021	154
19/09/2021	151
20/09/2021	151
21/09/2021	149
22/09/2021	146
23/09/2021	142
24/09/2021	138
25/09/2021	147
26/09/2021	153
27/09/2021	159
28/09/2021	165
29/09/2021	160
30/09/2021	159
01/10/2021	164
02/10/2021	169
03/10/2021	155
04/10/2021	145
05/10/2021	153
06/10/2021	137
07/10/2021	140
08/10/2021	134
09/10/2021	124
10/10/2021	128
11/10/2021	126
12/10/2021	123
13/10/2021	122
14/10/2021	113
15/10/2021	111
16/10/2021	98
17/10/2021	98
18/10/2021	99
19/10/2021	96
20/10/2021	92
21/10/2021	87
22/10/2021	84
23/10/2021	74
24/10/2021	73
25/10/2021	68
26/10/2021	64
27/10/2021	59
28/10/2021	60
29/10/2021	57
30/10/2021	53
31/10/2021	50
